.FECHA.ID_ESTACION.NOM_ESTACION.ESPECIE.ESPECIE_DES.ALTURA.DAP.TIPO.TIPO_DES.ESTADO.ESTADO_DES
1010.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.18.2.25.3.8.Tronco.6.Vivo
1017.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.29.5.8.Tronco.6.Vivo
1025.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.27.35.8.Tronco.6.Vivo
1039.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.36.6.8.Tronco.6.Vivo
1179.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.20.8.8.Tronco.6.Vivo
1182.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.32.6.8.Tronco.6.Vivo
1183.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.34.3.8.Tronco.6.Vivo
1184.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.29.9.8.Tronco.6.Vivo
1185.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.36.9.8.Tronco.6.Vivo
1190.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.17.9.8.Tronco.6.Vivo
1243.2014-07-04.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.22.0.8.Tronco.6.Vivo
1355.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.19.0.20.8.8.Tronco.6.Vivo
1359.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.32.5.8.Tronco.6.Vivo
1360.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.34.3.8.Tronco.6.Vivo
1361.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.20.0.30.4.8.Tronco.6.Vivo
1362.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.18.0.36.5.8.Tronco.6.Vivo
1364.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.14.5.7.Rama.6.Vivo
1365.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.17.5.8.Tronco.6.Vivo
1378.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.20.0.17.7.8.Tronco.6.Vivo
1383.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.18.0.16.3.8.Tronco.6.Vivo
1385.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.5.15.4.8.Tronco.6.Vivo
1386.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.21.0.17.9.8.Tronco.6.Vivo
1387.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.21.0.19.5.8.Tronco.6.Vivo
1396.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.20.0.17.0.8.Tronco.6.Vivo
1402.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.20.0.17.2.8.Tronco.6.Vivo
1412.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.18.0.11.5.8.Tronco.6.Vivo
1416.2013-05-22.45907.Kilómetro 22 -1.AG.Avicennia germinans.22.0.19.8.8.Tronco.6.Vivo
1496.2012-05-30.45907.Kilómetro 22 -1.AG.Avicennia germinans.17.0.32.3.8.Tronco.6.Vivo
