,FECHA,ID_ESTACION,NOM_ESTACION,ESPECIE,ESPECIE_DES,ALTURA,DAP,TIPO,TIPO_DES,ESTADO,ESTADO_DES
1095,2000-02-04,45924,Aguas Negras -1,LR,Laguncularia racemosa,1.6,4.1,8,Tronco,6,Vivo
1229,2014-07-04,45907,Kilómetro 22 -1,AG,Avicennia germinans,0.5,6.9,8,Tronco,1,Caido
1334,1995-11-20,45907,Kilómetro 22 -1,AG,Avicennia germinans,1.9,3.5,8,Tronco,6,Vivo
1337,1995-11-20,45907,Kilómetro 22 -1,AG,Avicennia germinans,1.8,3.5,8,Tronco,6,Vivo
1338,1995-11-20,45907,Kilómetro 22 -1,AG,Avicennia germinans,1.8,2.9,7,Rama,6,Vivo
1386,2013-05-22,45907,Kilómetro 22 -1,AG,Avicennia germinans,21.0,17.9,8,Tronco,6,Vivo
1387,2013-05-22,45907,Kilómetro 22 -1,AG,Avicennia germinans,21.0,19.5,8,Tronco,6,Vivo
1416,2013-05-22,45907,Kilómetro 22 -1,AG,Avicennia germinans,22.0,19.8,8,Tronco,6,Vivo
1636,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,21.0,11.0,8,Tronco,6,Vivo
1641,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,21.0,14.9,8,Tronco,6,Vivo
1646,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,22.0,13.2,8,Tronco,6,Vivo
1647,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,22.0,15.0,8,Tronco,6,Vivo
1655,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,24.0,14.0,8,Tronco,6,Vivo
1658,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,26.0,21.5,8,Tronco,6,Vivo
1663,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,25.0,17.0,8,Tronco,6,Vivo
1664,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,23.0,17.0,8,Tronco,6,Vivo
1686,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,25.0,21.5,8,Tronco,6,Vivo
1688,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,21.0,34.5,8,Tronco,6,Vivo
1699,2015-03-04,45910,Kilómetro 22 -2,AG,Avicennia germinans,80.0,5.2,8,Tronco,6,Vivo
1716,2014-02-12,45910,Kilómetro 22 -2,AG,Avicennia germinans,21.0,11.9,8,Tronco,6,Vivo
