"FECHA","ID_ESTACION","NOM_ESTACION","ESPECIE","ESPECIE_DES","ALTURA","DAP","TIPO","TIPO_DES","ESTADO","ESTADO_DES"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",8,9,13,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,2,6,9,"8","Tronco","3","Mal Estado"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",10,1,15,3,"8","Tronco","1","Caido"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",13,7,24,7,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",13,2,23,7,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",4,2,3,45,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",6,4,95,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",6,6,4,95,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",4,1,2,5,"8","Tronco","1","Caido"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,2,3,7,"8","Tronco","1","Caido"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,6,3,1,"8","Tronco","1","Caido"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",4,4,4,35,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",6,5,4,2,"8","Tronco","1","Caido"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",5,4,4,65,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",4,2,2,6,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",4,3,3,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,6,45,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",7,3,10,2,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,6,2,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",9,1,8,45,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,2,4,45,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",7,7,1,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",7,7,7,6,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,2,6,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",7,7,8,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,3,11,15,"7","Rama","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,8,3,5,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,6,2,85,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,3,95,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,8,4,15,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,6,3,8,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,5,3,5,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,5,4,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,1,4,8,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",7,5,13,8,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,1,3,35,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",6,3,9,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,5,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",4,8,3,6,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",5,16,2,95,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","LR","Laguncularia racemosa",5,3,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,3,3,"8","Tronco","6","Vivo"
07/03/00,45907,"Kilómetro 22 -1","AG","Avicennia germinans",5,1,3,1,"8","Tronco","6","Vivo"
